,time,low,high,open,close,volume
0,1563256800,308.13,313.0,309.37,308.83,1718.7725056
1,1563253200,306.62,312.0,310.44,309.4,2490.00131116
2,1563249600,305.17,313.29,308.18,310.35,2568.11061992
3,1563246000,304.77,312.78,307.97,308.45,3256.79888314
4,1563242400,301.06,315.53,315.52,307.6,5954.27056858
5,1563238800,313.22,318.3,316.7,315.29,2748.59030865
6,1563235200,313.1,316.7,313.1,316.69,2595.19600591
7,1563231600,312.74,323.34,320.04,313.44,3866.95813606
8,1563228000,313.02,321.29,313.07,320.39,1716.92835266
9,1563224400,312.74,319.11,317.74,313.3,1253.65253162
10,1563220800,314.16,320.67,318.19,317.53,2847.39896317
11,1563217200,315.55,325.49,324.42,317.71,6225.3931233
12,1563213600,307.56,328.39,311.56,324.33,10218.5104506
13,1563210000,311.0,319.51,317.42,311.6,3246.4267327
14,1563206400,312.99,322.0,317.9,318.14,4443.5782155
15,1563202800,310.01,321.16,315.52,317.91,5413.93400991
16,1563199200,296.08,325.0,296.08,315.96,11725.29680479
17,1563195600,285.0,296.32,285.54,296.31,2991.66480455
18,1563192000,284.09,295.99,291.59,285.97,4352.15581402
19,1563188400,290.83,295.06,291.84,291.46,1877.48282478
20,1563184800,290.0,296.0,293.59,291.14,2408.50068471
21,1563181200,282.48,294.27,284.23,293.38,2403.32231952
22,1563177600,283.92,288.49,288.13,284.49,1552.15042971
23,1563174000,284.04,289.0,284.18,288.42,1871.34887706
24,1563170400,277.36,285.9,284.24,283.21,2756.72289323
25,1563166800,281.0,285.93,283.8,284.46,2426.08648528
26,1563163200,282.42,289.29,285.53,283.68,3950.62283566
27,1563159600,275.37,292.06,275.94,286.19,6666.828824
28,1563156000,266.69,278.53,277.48,275.94,7466.27922158
29,1563152400,270.75,281.5,272.18,277.26,5311.3922703
30,1563148800,255.06,286.88,280.62,272.53,22659.77024354
31,1563145200,273.2,308.39,308.39,281.94,14254.51212539
32,1563141600,307.76,313.59,312.94,308.85,1466.51504595
33,1563138000,308.6,314.98,309.57,313.21,1701.22484207
34,1563134400,304.48,313.47,306.88,309.85,3336.93549431
35,1563130800,302.22,308.0,306.94,307.02,3545.3549212
36,1563127200,302.02,311.14,310.15,306.69,5039.88096059
37,1563123600,308.12,313.36,310.39,309.96,4212.57041188
