,time,low,high,open,close,volume
5604,1563235200,10655.25,11040.0,10856.41,10728.25,793.51482022
5603,1563220800,10731.02,11080.01,10855.0,10854.47,1006.05923306
5602,1563206400,10358.87,10949.99,10580.0,10855.0,1043.47059235
5601,1563192000,10070.21,10621.0,10303.98,10577.0,1012.51013497
5600,1563177600,10142.22,10395.0,10342.73,10308.56,473.76003016
5599,1563163200,10057.36,10359.42,10258.29,10340.94,713.4673717
5598,1563148800,10057.36,10273.86,10190.91,10260.95,5819.24697043
5597,1563134400,10084.4,10735.01,10479.87,10185.03,1319.06958327
5596,1563120000,10311.9,10673.2,10419.99,10486.26,1550.55165802
5595,1563105600,10263.17,10750.84,10672.02,10419.99,1140.59024079
5594,1563091200,10565.0,11201.41,11135.42,10675.94,202.69047139
5593,1563076800,11082.63,11354.3,11288.43,11136.67,550.4671234
5592,1563062400,11271.0,11467.27,11370.06,11284.16,611.27112174
5591,1563048000,10814.4,11483.85,11195.25,11370.08,2430.79629806
5590,1563033600,11010.0,11475.0,11411.29,11195.55,455.63552144
5589,1563019200,11267.44,11458.87,11309.59,11411.28,288.78094829
5588,1563004800,11203.35,11639.99,11505.01,11309.59,300.8585358
5587,1562990400,11479.13,11692.17,11628.38,11507.69,409.8021436
5586,1562976000,11565.0,11845.0,11797.53,11628.38,425.50745948
5585,1562961600,11622.12,11950.0,11631.04,11802.0,1578.12564721
5584,1562947200,11450.0,11699.62,11527.01,11631.62,972.57419726
5583,1562932800,11491.74,11765.81,11700.66,11527.0,659.27932917
5582,1562918400,11574.28,11799.0,11667.72,11701.47,431.52916873
5581,1562904000,11079.59,11739.0,11184.97,11667.72,1247.54543203
5580,1562889600,11112.57,11529.98,11348.56,11184.97,1260.0400308
5579,1562875200,10933.0,11658.74,11592.85,11349.0,6340.0029401
5578,1562860800,11431.92,11800.0,11535.0,11592.98,1703.0078808
5577,1562846400,11474.48,11840.0,11605.75,11535.01,1057.20475784
5576,1562832000,11315.14,11633.15,11602.01,11608.84,834.3462512
5575,1562817600,11169.36,11729.99,11703.79,11604.4,6484.15729878
5574,1562803200,11621.28,12097.93,12097.48,11704.24,1773.04083222
5573,1562788800,11553.21,12201.01,12051.54,12097.96,4266.18013006
5572,1562774400,11887.0,12372.93,12362.95,12051.55,2181.58801599
5571,1562760000,12038.64,13202.63,13009.14,12362.95,770.62414317
5570,1562745600,12833.86,13161.47,12875.87,13012.0,389.46871371
5569,1562731200,12801.0,13085.88,12979.0,12875.86,808.36204218
5568,1562716800,12532.18,13161.0,12572.12,12979.0,2433.50241977
5567,1562702400,12315.0,12680.0,12513.64,12571.11,811.55895668
5566,1562688000,12276.0,12669.29,12389.0,12514.0,1338.9788304
5565,1562673600,12159.34,12449.91,12314.98,12389.01,535.24171795
5564,1562659200,12105.32,12689.87,12451.48,12315.0,711.82364798
5563,1562644800,12377.7,12829.96,12675.58,12455.13,909.83709322
5562,1562630400,12235.85,12790.0,12293.39,12675.94,550.00106404
5561,1562616000,12128.15,12395.0,12219.93,12293.53,2164.4743737
5560,1562601600,11801.12,12250.0,11885.5,12219.92,1014.51382188
5559,1562587200,11840.14,11966.53,11945.0,11885.5,705.99185024
5558,1562572800,11400.0,12000.0,11472.62,11945.0,1334.95825411
5557,1562558400,11391.82,11514.85,11403.18,11472.62,336.4513246
5556,1562544000,11328.01,11547.23,11474.44,11403.56,398.83451521
5555,1562529600,11334.79,11620.0,11547.25,11474.42,681.13416088
5554,1562515200,11138.17,11617.06,11250.7,11547.26,420.52901226
5553,1562500800,11184.59,11467.94,11342.29,11250.1,603.21589211
5552,1562486400,11114.0,11389.27,11199.97,11342.76,289.96824945
5551,1562472000,11135.0,11322.92,11148.49,11195.51,536.86559591
5550,1562457600,11084.31,11248.99,11237.77,11148.49,585.04309404
5549,1562443200,11044.47,11525.0,11521.01,11237.77,268.6019597
5548,1562428800,11426.88,11723.6,11629.44,11518.79,608.75825372
5547,1562414400,11340.0,11689.44,11432.0,11624.52,637.95200918
5546,1562400000,11304.79,11566.82,11455.25,11429.57,768.05678403
5545,1562385600,11281.13,11639.0,11513.21,11455.67,1496.19725216
5544,1562371200,10980.09,11537.08,10994.99,11507.13,2179.2566914
5543,1562356800,10802.0,11175.0,11128.32,11004.51,2482.8496971
5542,1562342400,11033.0,11355.0,11260.0,11131.12,472.54980422
5541,1562328000,11119.94,11449.51,11200.04,11259.99,446.8254761
5540,1562313600,10850.01,11348.99,10970.88,11200.03,623.18526524
5539,1562299200,10761.8,11208.96,11137.59,10970.87,498.47876552
5538,1562284800,10931.0,11278.09,11137.87,11135.44,1849.04802211
5537,1562270400,11035.01,11862.2,11861.33,11136.0,1936.76001968
5536,1562256000,11651.0,11901.0,11757.95,11861.26,877.02867298
5535,1562241600,11719.45,11934.87,11747.48,11757.61,885.27364689
5534,1562227200,11526.56,11797.74,11705.02,11747.48,470.60828463
5533,1562212800,11610.0,11904.93,11894.0,11705.01,1397.50167391
5532,1562198400,11790.01,12064.26,11976.01,11894.0,1685.55172003
5531,1562184000,11230.0,12014.6,11274.36,11976.42,860.48594401
5530,1562169600,11030.0,11474.99,11461.36,11279.89,1932.80588677
5529,1562155200,11180.0,11508.26,11207.29,11463.1,726.36719095
5528,1562140800,10938.47,11420.01,11256.45,11205.4,1273.74185105
