,time,low,high,open,close,volume
18599,1564920000,222.95,223.06,223.06,222.95,0.22825537
18598,1564909200,222.95,223.06,223.06,222.95,0.22825537
18597,1564898400,222.95,223.06,223.06,222.95,0.22825537
18596,1564887600,222.95,223.06,223.06,222.95,0.22825537
18595,1564876800,222.95,223.06,223.06,222.95,0.22825537
18594,1564866000,222.95,223.06,223.06,222.95,0.22825537
18593,1564855200,222.95,223.06,223.06,222.95,0.22825537
18592,1564844400,222.95,223.06,223.06,222.95,0.22825537
18591,1564919940,223.06,223.1,223.1,223.06,14.23339933
18590,1564909140,223.06,223.1,223.1,223.06,14.23339933
18589,1564898340,223.06,223.1,223.1,223.06,14.23339933
18588,1564887540,223.06,223.1,223.1,223.06,14.23339933
18587,1564876740,223.06,223.1,223.1,223.06,14.23339933
18586,1564865940,223.06,223.1,223.1,223.06,14.23339933
18585,1564855140,223.06,223.1,223.1,223.06,14.23339933
18584,1564844340,223.06,223.1,223.1,223.06,14.23339933
18583,1564919880,222.99,223.08,223.04,223.03,7.96813229
18582,1564909080,222.99,223.08,223.04,223.03,7.96813229
18581,1564898280,222.99,223.08,223.04,223.03,7.96813229
18580,1564887480,222.99,223.08,223.04,223.03,7.96813229
18579,1564876680,222.99,223.08,223.04,223.03,7.96813229
18578,1564865880,222.99,223.08,223.04,223.03,7.96813229
18577,1564855080,222.99,223.08,223.04,223.03,7.96813229
18576,1564844280,222.99,223.08,223.04,223.03,7.96813229
18575,1564919820,222.97,223.28,223.28,222.97,98.18669259
18574,1564909020,222.97,223.28,223.28,222.97,98.18669259
18573,1564898220,222.97,223.28,223.28,222.97,98.18669259
18572,1564887420,222.97,223.28,223.28,222.97,98.18669259
18571,1564876620,222.97,223.28,223.28,222.97,98.18669259
18570,1564865820,222.97,223.28,223.28,222.97,98.18669259
18569,1564855020,222.97,223.28,223.28,222.97,98.18669259
18568,1564844220,222.97,223.28,223.28,222.97,98.18669259
18567,1564919760,223.09,223.27,223.09,223.17,21.64737508
18566,1564908960,223.09,223.27,223.09,223.17,21.64737508
18565,1564898160,223.09,223.27,223.09,223.17,21.64737508
18564,1564887360,223.09,223.27,223.09,223.17,21.64737508
18563,1564876560,223.09,223.27,223.09,223.17,21.64737508
18562,1564865760,223.09,223.27,223.09,223.17,21.64737508
18561,1564854960,223.09,223.27,223.09,223.17,21.64737508
18560,1564844160,223.09,223.27,223.09,223.17,21.64737508
18559,1564919700,223.07,223.09,223.07,223.08,31.48566193
18558,1564908900,223.07,223.09,223.07,223.08,31.48566193
18557,1564898100,223.07,223.09,223.07,223.08,31.48566193
18556,1564887300,223.07,223.09,223.07,223.08,31.48566193
18555,1564876500,223.07,223.09,223.07,223.08,31.48566193
18554,1564865700,223.07,223.09,223.07,223.08,31.48566193
18553,1564854900,223.07,223.09,223.07,223.08,31.48566193
18552,1564844100,223.07,223.09,223.07,223.08,31.48566193
18551,1564919640,222.98,223.05,222.99,223.05,52.67338944
18550,1564908840,222.98,223.05,222.99,223.05,52.67338944
18549,1564898040,222.98,223.05,222.99,223.05,52.67338944
18548,1564887240,222.98,223.05,222.99,223.05,52.67338944
18547,1564876440,222.98,223.05,222.99,223.05,52.67338944
18546,1564865640,222.98,223.05,222.99,223.05,52.67338944
18545,1564854840,222.98,223.05,222.99,223.05,52.67338944
18544,1564844040,222.98,223.05,222.99,223.05,52.67338944
18543,1564919580,222.96,222.96,222.96,222.96,10.17562711
18542,1564908780,222.96,222.96,222.96,222.96,10.17562711
18541,1564897980,222.96,222.96,222.96,222.96,10.17562711
18540,1564887180,222.96,222.96,222.96,222.96,10.17562711
18539,1564876380,222.96,222.96,222.96,222.96,10.17562711
18538,1564865580,222.96,222.96,222.96,222.96,10.17562711
18537,1564854780,222.96,222.96,222.96,222.96,10.17562711
18536,1564843980,222.96,222.96,222.96,222.96,10.17562711
