,time,low,high,open,close,volume
5604,1563235200,226.23,234.58,228.2,227.74,6654.98998649
5603,1563220800,227.21,234.8,232.42,228.28,7540.24633974
5602,1563206400,223.23,235.87,230.15,232.45,14781.01618722
5601,1563192000,220.14,234.0,226.65,229.95,8723.13846139
5600,1563177600,221.59,228.97,226.73,226.56,5296.95646099
5599,1563163200,217.78,227.31,222.33,226.72,8755.06299261
5598,1563148800,203.0,227.14,225.96,222.42,102473.42928238
5597,1563134400,222.7,240.43,235.23,225.76,7256.10182963
5596,1563120000,231.04,240.0,234.26,235.34,20251.61918845
5595,1563105600,229.26,243.7,242.99,233.92,15774.73247557
5594,1563091200,239.11,267.31,265.83,242.97,949.31301975
5593,1563076800,265.2,268.45,267.58,266.0,1293.20988002
5592,1563062400,267.29,270.02,268.99,267.49,1766.82690225
5591,1563048000,261.79,270.38,267.14,269.04,8175.82115984
5590,1563033600,265.24,271.64,270.61,267.19,2513.24067001
5589,1563019200,266.04,272.43,266.76,270.61,1145.55548647
5588,1563004800,265.26,272.0,269.36,266.55,1209.79180378
5587,1562990400,268.87,272.88,272.27,269.37,2423.51950461
5586,1562976000,271.25,276.34,275.62,272.28,2676.97526585
5585,1562961600,274.1,278.94,274.14,275.55,7353.54368104
5584,1562947200,270.92,275.84,271.83,274.25,4002.90677701
5583,1562932800,270.39,276.98,276.21,271.88,3741.27142904
5582,1562918400,272.69,279.3,273.17,276.21,5056.1927972
5581,1562904000,266.73,274.6,268.14,273.1,4880.46067737
5580,1562889600,266.37,274.73,268.88,268.17,7344.27302511
5579,1562875200,262.88,273.99,272.95,268.68,23264.7714714
5578,1562860800,267.11,276.0,269.38,272.99,12442.30763084
5577,1562846400,267.32,274.59,272.76,269.39,4905.96325034
5576,1562832000,267.25,274.5,274.03,272.71,4254.47546965
5575,1562817600,261.57,283.44,282.91,274.06,59407.02754944
5574,1562803200,281.05,288.68,288.68,282.91,10790.4965574
5573,1562788800,283.0,290.33,287.45,288.64,15413.78326192
5572,1562774400,282.55,291.13,288.1,287.45,13867.86305729
5571,1562760000,281.3,311.07,308.04,288.03,3556.54755448
5570,1562745600,307.02,310.3,307.02,307.97,4951.93339736
5569,1562731200,306.81,312.15,311.14,307.04,3465.73514146
5568,1562716800,307.05,314.98,307.95,311.18,9887.01532498
5567,1562702400,302.78,309.22,307.13,307.92,9834.18366165
5566,1562688000,303.83,311.26,308.92,307.14,4439.75561526
5565,1562673600,306.71,313.1,311.25,308.91,3133.89464849
5564,1562659200,309.4,315.38,312.1,311.28,1913.97472206
5563,1562644800,310.0,318.22,315.11,312.47,3199.71692601
5562,1562630400,310.91,318.6,313.23,315.03,3179.82360053
5561,1562616000,308.48,315.0,310.43,313.24,6924.63735201
5560,1562601600,305.68,310.95,309.14,310.47,5449.08570062
5559,1562587200,305.38,309.62,307.97,309.11,4184.58058128
5558,1562572800,305.49,312.0,308.09,307.93,7328.68340737
5557,1562558400,303.67,309.71,305.34,308.09,2478.7767
5556,1562544000,302.24,308.7,306.33,305.34,4845.74767446
5555,1562529600,304.51,310.7,308.25,306.34,10374.23997477
5554,1562515200,290.15,309.56,292.1,308.19,1972.52571986
5553,1562500800,290.42,296.0,293.68,292.16,4706.28518938
5552,1562486400,286.65,294.97,287.96,293.74,1165.09968406
5551,1562472000,286.45,289.71,287.47,287.91,1977.39267184
5550,1562457600,283.87,288.65,287.58,287.51,4031.72034739
5549,1562443200,285.31,293.29,292.35,287.57,1938.79011855
5548,1562428800,290.55,297.92,296.16,292.35,3375.69014303
5547,1562414400,288.74,298.25,291.23,296.16,2833.45383053
5546,1562400000,289.78,294.66,293.42,291.18,2091.92164539
5545,1562385600,291.56,295.07,293.81,293.38,3330.76899817
5544,1562371200,287.52,295.0,287.83,293.81,5993.23125196
5543,1562356800,284.9,290.5,289.87,288.0,9642.93860818
5542,1562342400,287.86,292.95,289.4,289.89,2843.37578037
5541,1562328000,287.69,294.34,293.28,289.39,2785.14139304
5540,1562313600,283.08,294.9,285.45,293.49,2870.44122684
5539,1562299200,282.78,287.77,285.29,285.44,2448.10124873
5538,1562284800,280.0,286.71,282.81,285.28,5680.57537529
5537,1562270400,280.1,295.45,295.4,282.8,5049.8668148
5536,1562256000,293.42,296.97,294.43,295.37,4353.80114096
5535,1562241600,294.28,297.65,294.47,294.43,2780.67291276
5534,1562227200,292.46,296.78,295.06,294.37,3065.56439885
5533,1562212800,293.47,298.91,298.01,295.09,5008.08822289
5532,1562198400,296.75,304.0,301.77,298.0,5367.91124142
5531,1562184000,292.13,303.83,293.1,301.79,2043.16540383
5530,1562169600,289.61,295.62,295.37,292.9,5088.53902611
5529,1562155200,291.87,296.09,292.47,295.31,3097.58904448
5528,1562140800,291.12,296.44,294.89,292.48,2299.31421408
5527,1562126400,294.58,301.23,295.24,295.0,3589.50339532
5526,1562112000,291.08,298.19,291.25,295.26,5926.94983034
5525,1562097600,285.0,293.51,288.3,291.25,3787.24823726
5524,1562083200,283.46,291.08,289.16,288.3,7480.89508223
5523,1562068800,274.19,289.71,274.86,289.32,15072.7793602
5522,1562054400,270.42,284.9,276.64,275.08,7142.38413354
5521,1562040000,271.12,288.88,287.88,276.53,35233.53682058
5520,1562025600,284.31,296.24,293.72,287.89,8168.07013698
5519,1562011200,281.68,295.93,281.68,293.7,12149.81112363
5518,1561996800,278.75,287.48,284.48,281.38,11370.59606977
5517,1561982400,278.65,295.62,294.29,284.49,10250.37901243
5516,1561968000,292.07,298.24,293.13,294.27,4036.88512537
5515,1561953600,290.48,299.8,298.11,293.05,3479.59492408
5514,1561939200,286.69,301.32,290.08,298.15,14468.20154799
5513,1561924800,286.0,304.77,301.56,290.07,5139.82290908
5512,1561910400,290.45,303.2,295.76,301.42,10387.04324797
5511,1561896000,287.86,304.01,301.46,295.9,4117.20210655
5510,1561881600,300.0,310.82,307.53,301.47,3245.70722809
5509,1561867200,306.21,319.45,318.27,307.59,2684.36130619
5508,1561852800,316.7,323.61,317.04,318.24,11260.14411838
5507,1561838400,308.29,324.5,309.19,317.0,7431.46157538
5506,1561824000,299.8,314.0,305.08,309.16,11265.17032625
5505,1561809600,303.61,308.92,307.18,304.92,4450.47862314
5504,1561795200,295.39,307.55,300.06,307.18,2589.33275645
5503,1561780800,291.25,301.8,294.83,300.1,6879.45683459
5502,1561766400,294.22,309.53,309.38,294.83,5978.7812063
5501,1561752000,303.89,311.7,310.43,309.37,10037.68194119
5500,1561737600,302.59,312.9,305.22,310.35,6715.38318025
5499,1561723200,298.79,308.02,307.97,305.27,9213.69658874
5498,1561708800,296.98,309.0,297.34,307.97,11425.17025675
5497,1561694400,290.88,302.77,294.92,297.05,7102.80335241
5496,1561680000,289.66,302.32,293.47,294.9,13175.63910019
5495,1561665600,273.5,299.14,287.12,293.47,34637.11791016
5494,1561651200,278.88,310.4,306.86,287.76,54288.38516078
5493,1561636800,293.23,314.35,312.83,306.9,14129.14702286
5492,1561622400,297.2,322.37,322.13,312.93,19347.98567599
5491,1561608000,317.0,337.49,334.55,322.38,6632.47138961
5490,1561593600,325.29,343.82,334.81,334.53,20777.91311797
5489,1561579200,308.0,364.49,350.81,334.86,81476.6387234
5488,1561564800,338.06,356.88,345.62,350.76,33202.36514943
5487,1561550400,338.71,349.74,339.0,345.47,21810.24140176
5486,1561536000,327.66,339.23,327.87,339.0,5939.10056403
5485,1561521600,325.12,339.0,330.51,327.87,28872.31523089
5484,1561507200,314.34,334.32,316.59,330.5,12468.59508735
5483,1561492800,308.26,317.4,308.97,316.59,2274.94588818
5482,1561478400,306.8,312.55,310.57,308.94,6803.79332155
5481,1561464000,306.0,312.79,312.1,310.57,12279.4593203
5480,1561449600,311.11,314.66,313.15,312.11,1225.48757462
5479,1561435200,310.24,314.97,310.24,313.31,3629.12988061
5478,1561420800,309.22,312.96,311.0,310.24,5594.95516693
5477,1561406400,305.07,312.53,307.9,311.0,6965.14489607
5476,1561392000,305.46,313.1,307.55,307.88,14580.95539834
5475,1561377600,304.79,310.0,307.94,307.54,2966.1836185
