,time,low,high,open,close,volume
0,1563256800,88.77,89.72,89.46,89.23,3001.33513768
1,1563253200,88.83,89.73,89.49,89.46,3871.94140275
2,1563249600,88.37,89.79,89.1,89.56,4945.12187152
3,1563246000,88.42,89.79,89.01,89.2,11449.85261012
4,1563242400,88.55,91.3,91.27,89.07,14772.87119503
5,1563238800,91.0,91.89,91.13,91.27,7995.39895823
6,1563235200,90.01,91.3,90.54,91.13,12418.05552482
7,1563231600,90.5,92.4,91.63,90.5,16231.2070533
8,1563228000,90.42,91.93,90.42,91.71,7178.70475823
9,1563224400,90.31,91.63,91.08,90.54,7415.34901344
10,1563220800,90.46,92.2,91.76,91.08,8267.46294692
11,1563217200,91.54,92.64,92.43,91.88,11665.80553461
12,1563213600,88.67,92.82,90.07,92.43,36627.93761982
13,1563210000,90.04,92.96,92.73,90.14,12954.48913767
14,1563206400,90.58,93.0,91.68,92.76,21505.63255091
15,1563202800,89.86,92.17,91.41,91.68,15746.2097055
16,1563199200,88.82,92.27,88.82,91.44,35949.64490896
17,1563195600,86.45,88.83,86.61,88.81,12996.72749548
18,1563192000,86.33,88.84,88.64,86.58,15196.50106447
19,1563188400,88.03,89.26,88.29,88.64,5939.8677718
20,1563184800,88.08,89.5,88.98,88.26,4426.81559769
21,1563181200,86.69,89.46,87.79,88.8,6042.98498187
22,1563177600,87.41,89.32,89.27,87.85,2917.73737068
23,1563174000,87.88,89.48,87.88,89.33,5688.99494661
24,1563170400,85.74,88.5,88.12,87.66,16764.00597855
25,1563166800,87.17,88.59,88.21,88.13,8994.71109221
26,1563163200,87.89,89.9,89.55,88.1,8827.64540717
27,1563159600,87.73,90.42,88.28,89.5,20973.32691876
28,1563156000,84.88,88.28,87.5,88.28,41175.37755161
29,1563152400,86.67,88.74,87.27,87.39,22638.9754754
30,1563148800,85.0,89.91,89.72,87.21,93906.13039257
31,1563145200,88.3,91.72,91.16,89.72,40285.75517488
32,1563141600,91.0,93.9,92.96,91.28,14289.98537465
33,1563138000,90.24,93.49,90.64,93.05,14430.79382985
34,1563134400,88.57,91.5,89.38,90.65,18866.03855299
35,1563130800,88.27,89.99,89.5,89.38,19240.11351597
36,1563127200,88.0,91.18,90.87,89.49,21260.0822284
37,1563123600,90.27,91.89,91.1,90.84,25196.12331267
38,1563120000,88.25,91.89,89.75,91.06,46127.23169886
39,1563116400,88.0,91.83,91.07,89.69,62728.81759444
40,1563112800,90.91,93.07,92.78,91.14,27973.77733404
41,1563109200,91.6,94.0,93.36,92.79,26344.1086748
42,1563105600,91.52,93.95,93.47,93.3,25171.48953009
43,1563102000,92.01,94.51,93.59,93.3,20189.13286929
44,1563098400,92.16,94.78,94.0,93.51,33073.12608999
45,1563094800,91.78,99.82,98.37,93.92,39273.28795346
46,1563091200,98.36,100.29,99.74,98.36,6492.36794777
47,1563087600,99.44,100.41,100.41,99.82,4235.5173268
48,1563084000,100.36,100.91,100.55,100.44,5154.59012003
49,1563080400,99.31,101.0,99.79,100.55,10096.57240364
50,1563076800,98.98,101.3,100.93,99.73,6952.83233971
51,1563073200,100.4,101.37,100.83,100.89,5134.21751594
52,1563069600,100.66,101.9,101.4,100.86,4427.36305311
53,1563066000,100.37,101.91,100.85,101.43,8267.92333182
54,1563062400,100.64,101.58,101.19,100.81,6687.18516193
55,1563058800,100.13,101.37,100.6,101.15,6127.38921687
56,1563055200,99.09,102.25,99.35,100.64,23647.87835206
57,1563051600,97.5,99.32,98.6,99.32,13224.30467887
58,1563048000,97.75,101.42,101.4,98.59,27491.77538937
59,1563044400,100.17,101.58,100.68,101.38,8432.81993811
60,1563040800,99.46,101.91,101.91,100.73,22078.97615378
61,1563037200,101.2,102.47,101.65,101.9,5983.51438012
62,1563033600,101.34,103.39,102.64,101.82,8523.33400614
63,1563030000,101.91,102.95,102.16,102.72,5294.14824298
64,1563026400,101.76,103.68,102.56,102.16,9988.40138701
65,1563022800,100.95,104.11,101.04,102.51,16708.66368058
66,1563019200,100.22,101.44,100.6,101.08,6661.12600415
67,1563015600,99.63,101.33,100.85,100.48,11301.73864141
68,1563012000,100.23,102.76,102.67,100.75,18448.65603176
69,1563008400,101.83,102.95,102.32,102.73,4055.17999387
70,1563004800,101.5,102.94,101.66,102.17,3452.02019659
71,1563001200,101.35,102.65,102.61,101.67,5127.57764068
72,1562997600,102.46,103.27,103.22,102.67,3325.6515315
