 par_1      , par_2      , par_3      , f_value    
 +4.3113e+02, +1.5302e+09, +1.5475e+09, -4.0472e+01
 +4.6000e+02, +1.5302e+09, +1.5475e+09, -2.6072e+01
 +4.6107e+02, +1.5302e+09, +1.5475e+09, -2.1705e+01
 +4.6107e+02, +1.5302e+09, +1.5475e+09, -2.1705e+01
 +3.6933e+02, +1.5302e+09, +1.5475e+09, -1.2487e+01
 +3.7000e+02, +1.5302e+09, +1.5475e+09, -1.0993e+01
 +1.9000e+02, +1.5302e+09, +1.5475e+09, -1.0859e+01
 +1.8775e+02, +1.5302e+09, +1.5475e+09, -9.7837e+00
 +9.1000e+02, +1.5302e+09, +1.5475e+09, -6.1101e+00
 +9.2178e+02, +1.5302e+09, +1.5475e+09, -1.6855e+00
 +5.5000e+02, +1.5302e+09, +1.5475e+09, -4.7277e-01
 +1.0000e+03, +1.5302e+09, +1.5475e+09, -0.0000e+00
 +1.0000e+03, +1.5302e+09, +1.5475e+09, -0.0000e+00
 +1.0000e+03, +1.5302e+09, +1.5475e+09, -0.0000e+00
 +1.0000e+03, +1.5302e+09, +1.5475e+09, -0.0000e+00
 +3.4427e+02, +1.5302e+09, +1.5475e+09, +1.8847e+00
 +2.8000e+02, +1.5302e+09, +1.5475e+09, +3.8054e+00
 +6.4000e+02, +1.5302e+09, +1.5475e+09, +4.0847e+00
 +1.0000e+02, +1.5302e+09, +1.5475e+09, +7.3404e+00
 +8.6458e+02, +1.5302e+09, +1.5475e+09, +2.5863e+01
 +7.3000e+02, +1.5302e+09, +1.5475e+09, +2.6446e+01
 +8.2000e+02, +1.5302e+09, +1.5475e+09, +3.3042e+01
 +1.0000e+01, +1.5302e+09, +1.5475e+09, +5.0666e+01
 +1.0000e+01, +1.5302e+09, +1.5475e+09, +5.0666e+01
